[*] '/home/aa35037123/unix_programming_labs/lab3/gotoku.local'
    Arch:     amd64-64-little
    RELRO:    Partial RELRO
    Stack:    No canary found
    NX:       NX enabled
    PIE:      PIE enabled
    RUNPATH:  b'.'
main = 0x16c89
Func         GOT Offset Symbol Offset
gop_331      1c580      12b30     
gop_332      1d8f8      15220     
gop_333      1c5a0      12b70     
gop_334      1d848      150c0     
gop_335      1c788      12f40     
gop_336      1da00      15430     
gop_337      1c720      12e70     
gop_338      1da20      15470     
gop_339      1c7b0      12f90     
gop_340      1caa8      13580     
gop_341      1dd98      15b60     
gop_342      1ca38      134a0     
gop_343      1ddd8      15be0     
gop_344      1ca50      134d0     
gop_345      1dd28      15a80     
gop_346      1cbf0      13810     
gop_347      1de90      15d50     
gop_348      1cb70      13710     
gop_349      1ded0      15dd0     
gop_350      1e280      16530     
gop_351      1cfb8      13fa0     
gop_352      1e298      16560     
gop_353      1cf58      13ee0     
gop_354      1e2a0      16570     
gop_355      1cf88      13f40     
gop_356      1e238      164a0     
gop_357      1d0c8      141c0     
gop_358      1e388      16740     
gop_359      1d060      140f0     
gop_360      1d558      14ae0     
gop_361      1c108      12240     
gop_362      1d448      148c0     
gop_363      1c138      122a0     
gop_364      1d3c0      147b0     
gop_365      1c160      122f0     
gop_366      1d400      14830     
gop_367      1c0b8      121a0     
gop_368      1d588      14b40     
gop_369      1c250      124d0     
gop_370      1c200      12430     
gop_371      1d580      14b30     
gop_372      1c298      12560     
gop_373      1d548      14ac0     
gop_374      1c248      124c0     
gop_375      1d570      14b10     
gop_376      1c228      12480     
gop_377      1d530      14a90     
gop_378      1c2f0      12610     
gop_379      1d608      14c40     
gop_380      1da30      15490     
gop_381      1c7a0      12f70     
gop_382      1da08      15440     
gop_383      1c758      12ee0     
gop_384      1da28      15480     
gop_385      1c730      12e90     
gop_386      1d9f0      15410     
gop_387      1c7e0      12ff0     
gop_388      1dac8      155c0     
gop_389      1c728      12e80     
gop_390      1cc20      13870     
gop_391      1dec0      15db0     
gop_392      1cbc8      137c0     
gop_393      1dec8      15dc0     
gop_394      1cba0      13770     
gop_395      1de80      15d30     
gop_396      1cc90      13950     
gop_397      1df98      15f60     
gop_398      1cb90      13750     
gop_399      1df90      15f50     
gop_400      1dbe0      157f0     
gop_401      1c8f8      13220     
gop_402      1ddb0      15b90     
gop_403      1ca98      13560     
gop_404      1dd18      15a60     
gop_405      1cac8      135c0     
gop_406      1de08      15c40     
gop_407      1cb00      13630     
gop_408      1de18      15c60     
gop_409      1cab0      13590     
gop_410      1c420      12870     
gop_411      1d908      15240     
gop_412      1c5f8      12c20     
gop_413      1d858      150e0     
gop_414      1c640      12cb0     
gop_415      1d940      152b0     
gop_416      1c678      12d20     
gop_417      1d950      152d0     
gop_418      1c610      12c50     
gop_419      1d6b8      14da0     
gop_420      1e528      16a80     
gop_421      1d2a8      14580     
gop_422      1e550      16ad0     
gop_423      1d240      144b0     
gop_424      1c180      12330     
gop_425      1d438      148a0     
gop_426      1c0d8      121e0     
gop_427      1d450      148d0     
gop_428      1c1b0      12390     
gop_429      1d498      14960     
gop_430      1ce60      13cf0     
gop_431      1e0c0      161b0     
gop_432      1cdc8      13bc0     
gop_433      1e2d0      165d0     
gop_434      1cfa8      13f80     
gop_435      1e258      164e0     
gop_436      1cfc8      13fc0     
gop_437      1e2f0      16610     
gop_438      1cff0      14010     
gop_439      1e300      16630     
gop_440      1c940      132b0     
gop_441      1dbc8      157c0     
gop_442      1c968      13300     
gop_443      1dbd8      157e0     
gop_444      1c8f0      13210     
gop_445      1dda8      15b80     
gop_446      1ca90      13550     
gop_447      1dd10      15a50     
gop_448      1cac0      135b0     
gop_449      1de00      15c30     
gop_450      1d730      14e90     
gop_451      1c478      12920     
gop_452      1d6f8      14e20     
gop_453      1c490      12950     
gop_454      1d708      14e40     
gop_455      1c418      12860     
gop_456      1d900      15230     
gop_457      1c5f0      12c10     
gop_458      1d850      150d0     
gop_459      1c638      12ca0     
gop_460      1d270      14510     
gop_461      1e570      16b10     
gop_462      1d290      14550     
gop_463      1e520      16a70     
gop_464      1d2a0      14570     
gop_465      1e548      16ac0     
gop_466      1d238      144a0     
gop_467      1c178      12320     
gop_468      1d430      14890     
gop_469      1c0d0      121d0     
gop_470      1e290      16550     
gop_471      1ce20      13c70     
gop_472      1e110      16250     
gop_473      1ce48      13cc0     
gop_474      1e0a8      16180     
gop_475      1ce58      13ce0     
gop_476      1e0b8      161a0     
gop_477      1cdc0      13bb0     
gop_478      1e2c8      165c0     
gop_479      1cfa0      13f70     
gop_480      1d800      15030     
gop_481      1c650      12cd0     
gop_482      1d928      15280     
gop_483      1c618      12c60     
gop_484      1d8b8      151a0     
gop_485      1c648      12cc0     
gop_486      1d880      15130     
gop_487      1c5d0      12bd0     
gop_488      1d980      15330     
gop_489      1c708      12e40     
gop_490      1c170      12310     
gop_491      1d478      14920     
gop_492      1c128      12280     
gop_493      1d410      14850     
gop_494      1c140      122b0     
gop_495      1d3c8      147c0     
gop_496      1c100      12230     
gop_497      1d4e8      14a00     
gop_498      1c210      12450     
gop_499      1d3b0      14790     
gop_500      1c9a8      13380     
gop_501      1dcb0      15990     
gop_502      1c9f8      13420     
gop_503      1dcd0      159d0     
gop_504      1ca08      13440     
gop_505      1dce8      15a00     
gop_506      1cfe8      14000     
gop_507      1e2b8      165a0     
gop_508      1d000      14030     
gop_509      1e2e8      16600     
gop_510      1e1c0      163b0     
gop_511      1cf00      13e30     
gop_512      1e1d8      163e0     
gop_513      1cf38      13ea0     
gop_514      1e200      16430     
gop_515      1d490      14950     
gop_516      1c158      122e0     
gop_517      1d4b8      149a0     
gop_518      1c1a8      12380     
gop_519      1d428      14880     
gop_520      1c5b8      12ba0     
gop_521      1d2f8      14620     
gop_522      1c038      120a0     
gop_523      1d320      14670     
gop_524      1c070      12110     
gop_525      1d340      146b0     
gop_526      1c0a0      12170     
gop_527      1d370      14710     
gop_528      1c670      12d10     
gop_529      1d920      15270     
gop_530      1d7a0      14f70     
gop_531      1c4f0      12a10     
gop_532      1d7c8      14fc0     
gop_533      1c518      12a60     
gop_534      1d7e0      14ff0     
gop_535      1c550      12ad0     
gop_536      1d820      15070     
gop_537      1caf0      13610     
gop_538      1ddd0      15bd0     
gop_539      1cb20      13670     
gop_540      1dce0      159f0     
gop_541      1cfe0      13ff0     
gop_542      1e2b0      16590     
gop_543      1cff8      14020     
gop_544      1e2e0      165f0     
gop_545      1cf98      13f60     
gop_546      1e288      16540     
gop_547      1cfc0      13fb0     
gop_548      1e2d8      165e0     
gop_549      1d030      14090     
gop_550      1cf30      13e90     
gop_551      1e1f8      16420     
gop_552      1d488      14940     
gop_553      1c150      122d0     
gop_554      1d4b0      14990     
gop_555      1c1a0      12370     
gop_556      1d420      14870     
gop_557      1c120      12270     
gop_558      1d460      148f0     
gop_559      1c188      12340     
gop_560      1d338      146a0     
gop_561      1c098      12160     
gop_562      1d368      14700     
gop_563      1c668      12d00     
gop_564      1d918      15260     
gop_565      1c690      12d50     
gop_566      1d938      152a0     
gop_567      1c5e8      12c00     
gop_568      1d8c8      151c0     
gop_569      1c630      12c90     
gop_570      1c510      12a50     
gop_571      1d7d8      14fe0     
gop_572      1c548      12ac0     
gop_573      1d818      15060     
gop_574      1cae8      13600     
gop_575      1ddc8      15bc0     
gop_576      1cb18      13660     
gop_577      1ddf0      15c10     
gop_578      1ca88      13540     
gop_579      1dd88      15b40     
gop_580      1cd70      13b10     
gop_581      1e078      16120     
gop_582      1cd48      13ac0     
gop_583      1dfd8      15fe0     
gop_584      1cf78      13f20     
gop_585      1dc90      15950     
gop_586      1c9a0      13370     
gop_587      1dca8      15980     
gop_588      1c9f0      13410     
gop_589      1dcc8      159c0     
gop_590      1e4d8      169e0     
gop_591      1d1c0      143b0     
gop_592      1e450      168d0     
gop_593      1d3e0      147f0     
gop_594      1e1a8      16380     
gop_595      1ced0      13dd0     
gop_596      1e1b8      163a0     
gop_597      1cef8      13e20     
gop_598      1e1d0      163d0     
gop_599      1cf28      13e80     
gop_600      1c8b0      13190     
gop_601      1db98      15760     
gop_602      1c8c0      131b0     
gop_603      1dbb8      157a0     
gop_604      1c8d0      131d0     
gop_605      1e168      16300     
gop_606      1ce80      13d30     
gop_607      1e188      16340     
gop_608      1cea0      13d70     
gop_609      1e0f0      16210     
gop_610      1dbf0      15810     
gop_611      1c3a0      12770     
gop_612      1d6a8      14d80     
gop_613      1c3b8      127a0     
gop_614      1d6c8      14dc0     
gop_615      1c3d0      127d0     
gop_616      1d6e8      14e00     
gop_617      1c3f0      12810     
gop_618      1dc48      158c0     
gop_619      1c960      132f0     
gop_620      1e4e0      169f0     
gop_621      1d200      14430     
gop_622      1e4e8      16a00     
gop_623      1d210      14450     
gop_624      1e4f8      16a20     
gop_625      1d228      14480     
gop_626      1e508      16a40     
gop_627      1d760      14ef0     
gop_628      1c4a0      12970     
gop_629      1d790      14f50     
gop_630      1cda8      13b80     
gop_631      1c000      12030     
gop_632      1d298      14560     
gop_633      1c020      12070     
gop_634      1d2c8      145c0     
gop_635      1e560      16af0     
gop_636      1d280      14530     
gop_637      1e588      16b40     
gop_638      1d2c0      145b0     
gop_639      1c058      120e0     
gop_640      1dbb0      15790     
gop_641      1c8c8      131c0     
gop_642      1e160      162f0     
gop_643      1ce78      13d3c     
gop_644      1e180      16330     
gop_645      1ce98      13d60     
gop_646      1e0e8      16200     
gop_647      1ce30      13c90     
gop_648      1e118      16260     
gop_649      1ce90      13d50     
gop_650      1c3c8      127c0     
gop_651      1d6e0      14df0     
gop_652      1c3e8      12800     
gop_653      1dc40      158b0     
gop_654      1c958      132e0     
gop_655      1dc60      158f0     
gop_656      1c970      13310     
gop_657      1dc08      15840     
gop_658      1c938      132a0     
gop_659      1dc28      15880     
gop_660      1d208      14440     
gop_661      1e4f0      16a10     
gop_662      1d220      14470     
gop_663      1e500      16a30     
gop_664      1d758      14ee0     
gop_665      1c498      12960     
gop_666      1d788      14f40     
gop_667      1c4b8      129a0     
gop_668      1d728      14e80     
gop_669      1c470      12910     
gop_670      1e3f8      16820     
gop_671      1d100      14230     
gop_672      1e3e0      167f0     
gop_673      1d090      14150     
gop_674      1e530      16a90     
gop_675      1cd80      13b30     
gop_676      1e080      16130     
gop_677      1cd90      13b50     
gop_678      1e088      16140     
gop_679      1cd98      13b60     
gop_680      1cc48      138c0     
gop_681      1def0      15e10     
gop_682      1cba8      13780     
gop_683      1e0b0      16190     
gop_684      1c8a0      13170     
gop_685      1db78      15720     
gop_686      1c8a8      13180     
gop_687      1db90      15750     
gop_688      1c8b8      131a0     
gop_689      1dba8      15780     
gop_690      1da50      154d0     
gop_691      1c740      12eb0     
gop_692      1dbe8      15800     
gop_693      1c398      12760     
gop_694      1d6a0      14d70     
gop_695      1c3b0      12790     
gop_696      1d6c0      14db0     
gop_697      1c3c0      127b0     
gop_698      1d6d8      14de0     
gop_699      1c3e0      127f0     
gop_700      1ccc0      139b0     
gop_701      1da70      15510     
gop_702      1c7d0      12fd0     
gop_703      1da88      15540     
gop_704      1c7f0      13010     
gop_705      1daa0      15570     
gop_706      1c808      13040     
gop_707      1dab8      155a0     
gop_708      1cd58      13ae0     
gop_709      1e028      16080     
gop_710      1df40      15eb0     
gop_711      1cc60      138f0     
gop_712      1df58      15ee0     
gop_713      1cc88      13940     
gop_714      1df70      15f10     
gop_715      1cca0      13970     
gop_716      1df88      15f40     
gop_717      1d1b8      143a0     
gop_718      1e490      16950     
gop_719      1d1e0      143f0     
gop_720      1d130      14290     
gop_721      1c370      12710     
gop_722      1d670      14d3c     
gop_723      1c388      12740     
gop_724      1d688      14d40     
gop_725      1c330      12690     
gop_726      1d658      14ce0     
gop_727      1c348      126c0     
gop_728      1d678      14d20     
gop_729      1c400      12830     
gop_730      1c300      12630     
gop_731      1d600      14c30     
gop_732      1c878      13120     
gop_733      1db40      156b0     
gop_734      1c890      13150     
gop_735      1db58      156e0     
gop_736      1c838      130a0     
gop_737      1db10      15650     
gop_738      1c860      130f0     
gop_739      1db48      156c0     
gop_740      1da98      15560     
gop_741      1c800      13030     
gop_742      1dab0      15590     
gop_743      1cd50      13ad0     
gop_744      1e020      16070     
gop_745      1cd78      13b20     
gop_746      1e050      160d0     
gop_747      1cce8      13a00     
gop_748      1e000      16030     
gop_749      1cd08      13a40     
gop_750      1cc80      13930     
gop_751      1df68      15f00     
gop_752      1cc98      13960     
gop_753      1df80      15f30     
gop_754      1d1b0      14390     
gop_755      1e488      16940     
gop_756      1d1d8      143e0     
gop_757      1e4b0      16990     
gop_758      1d168      14300     
gop_759      1e470      16910     
gop_760      1c1e0      123f0     
gop_761      1d4a0      14970     
gop_762      1c1c0      123b0     
gop_763      1d3f0      14810     
gop_764      1c320      12670     
gop_765      1d108      14240     
gop_766      1e408      16840     
gop_767      1d120      14270     
gop_768      1e428      16880     
gop_769      1d128      14280     
gop_770      1d958      152e0     
gop_771      1c680      12d3c     
gop_772      1d890      15150     
gop_773      1c828      13080     
gop_774      1d5d8      14be0     
gop_775      1c2d0      125d0     
gop_776      1d5f0      14c10     
gop_777      1c2e8      12600     
gop_778      1d5f8      14c20     
gop_779      1c2f8      12620     
gop_780      1caf8      13620     
gop_781      1dd70      15b10     
gop_782      1ccc8      139c0     
gop_783      1da68      15500     
gop_784      1c7c8      12fc0     
gop_785      1da80      15530     
gop_786      1c7e8      13000     
gop_787      1da90      15550     
gop_788      1c7f8      13020     
gop_789      1daa8      15580     
gop_790      1e270      16510     
gop_791      1d150      142d0     
gop_792      1df38      15ea0     
gop_793      1cc58      138e0     
gop_794      1df50      15ed0     
gop_795      1cc78      13920     
gop_796      1df60      15ef0     
gop_797      1cca8      13980     
gop_798      1df78      15f20     
gop_799      1d1a8      14380     
gop_800      1c6a8      12d80     
gop_801      1d970      15310     
gop_802      1c6d0      12dd0     
gop_803      1d998      15360     
gop_804      1c6e8      12e00     
gop_805      1d9b0      15390     
gop_806      1c700      12e30     
gop_807      1df10      15e50     
gop_808      1cc08      13840     
gop_809      1df30      15e90     
gop_810      1c208      12440     
gop_811      1da40      154b0     
gop_812      1c790      12f50     
gop_813      1da58      154e0     
gop_814      1c7a8      12f80     
gop_815      1d9f8      15420     
gop_816      1c760      12ef0     
gop_817      1da18      15460     
gop_818      1c798      12f60     
gop_819      1dac0      155b0     
gop_820      1d040      140b0     
gop_821      1e330      16690     
gop_822      1d5a8      14b80     
gop_823      1c288      12540     
gop_824      1d5c0      14bb0     
gop_825      1c2a8      12580     
gop_826      1d540      14ab0     
gop_827      1c270      12510     
gop_828      1d560      14af0     
gop_829      1c290      12550     
gop_830      1cb50      136d0     
gop_831      1de40      15cb0     
gop_832      1cb60      136f0     
gop_833      1e3d8      167e0     
gop_834      1d0c0      141b0     
gop_835      1e3f0      16810     
gop_836      1d0d8      141e0     
gop_837      1e380      16730     
gop_838      1d098      14160     
gop_839      1e3b0      16790     
gop_840      1d990      15350     
